radius_of_gyration,mean_coord_distance,max_coord_distance,min_coord_distance,binding_site_volume,asymmetry,accessibility_score,occupied_octants,empty_octants
2.3572364,2.425316,2.61767,2.2673535,14.14445302402837,0.12629715,0.2222222222222222,6,2
2.2817502,2.400914,2.49608,2.2793639,11.313022528402453,0.076261565,0.3333333333333333,5,3
2.4547362,2.4830158,3.1488595,2.246976,17.18903279904379,0.28798133,0.2222222222222222,6,2
2.6353598,2.6818373,3.7152941,2.2656975,22.479464450497602,0.5823006,0.1111111111111111,6,2
2.538791,2.5464914,3.759546,2.3017628,29.893590930272406,0.4359903,0.0,7,1
2.4871893,2.4782279,3.1517954,2.2800663,29.081002205144376,0.25363916,0.0,8,0
2.557034,2.527799,3.785621,2.271497,29.39663682553962,0.45268545,0.0,7,1
2.3707776,2.38022,2.5222635,2.3003252,23.48271881083262,0.07878607,0.1111111111111111,7,1
2.3543563,2.3601956,2.5151734,2.2469776,23.176381906568498,0.09389423,0.1111111111111111,7,1
2.5304365,2.5525188,3.6992953,2.2960386,29.79332154802104,0.41271392,0.0,7,1
2.569585,2.5465612,3.7881017,2.2866151,30.367091658114184,0.4466375,0.0,8,0
2.3590782,2.3665576,2.5460763,2.1999538,23.36763811619504,0.115952745,0.1111111111111111,7,1
2.565538,2.5417297,3.6259332,2.296276,30.410408440248485,0.39442942,0.0,8,0
2.5028412,2.4901547,3.234823,2.282763,29.211226195072392,0.2761806,0.0,7,1
2.386812,2.3922796,2.5371041,2.2723992,24.072306333884725,0.09293319,0.1111111111111111,7,1
2.5052958,2.5008993,3.5881457,2.265788,27.74044066011089,0.39007282,0.0,7,1
2.3861995,2.390827,2.5462887,2.2610192,24.269580408753058,0.09095719,0.1111111111111111,7,1
2.5283923,2.5082233,3.636564,2.2437692,29.562160264644042,0.40687266,0.0,7,1
2.4982316,2.477555,3.6063461,2.2310112,28.254344959037855,0.40358624,0.0,8,0
2.392595,2.4041367,2.4815528,2.2997606,23.58406983649209,0.064326644,0.1111111111111111,7,1
